Date,Open,High,Low,Close,Volume,Change
2013-06-17,96347,96347,95797,95918,276,-0.002672212113335015
2013-06-18,95871,96201,95871,96202,21,0.002960862403302844
2013-06-19,96265,96278,96246,96280,3191,0.0008107939543875453
2013-06-20,95821,95839,94488,94866,3226,-0.014686331533028674
2013-06-21,94676,94676,93747,93840,3420,-0.010815255202074492
2013-06-24,93485,93485,92859,92861,1522,-0.010432651321398145
2013-06-25,93441,93505,93166,93506,310,0.006945865325594269
2013-06-26,93505,94008,93020,94011,3855,0.005400722948259995
2013-06-27,94572,94846,94572,94632,1007,0.0066056099818105896
2013-06-28,94690,95057,94690,94760,2202,0.0013526079972947525
2013-07-01,94750,94759,94200,94203,1054,-0.0058780075981427204
2013-07-02,94205,94589,94205,94593,1745,0.004139995541543318
2013-07-03,94841,94841,94433,94436,106,-0.0016597422642267157
2013-07-04,94416,94416,94416,94417,2,-0.00020119445973998396
2013-07-05,94247,94247,94087,94087,1502,-0.0034951332916741684
2013-07-08,94123,94123,92869,93425,2022,-0.007036041110886737
2013-07-09,93693,93693,93693,93694,100,0.002879314958522894
2013-07-10,93806,94169,93806,94170,101,0.005080368006489255
2013-07-11,94809,94983,94809,94985,229,0.008654560900499098
2013-07-12,95231,95326,95154,95154,347,0.0017792282992050712
2013-07-15,95165,95165,94722,94807,781,-0.003646720053807506
2013-07-16,94804,94804,94731,94734,20,-0.0007699853386353706
2013-07-17,94483,94599,94483,94600,260,-0.0014144868790507692
2013-07-18,94905,94905,94905,94907,11,0.003245243128964015
2013-07-19,94933,95057,94933,95058,290,0.001591031220036454
2013-07-22,95014,95014,95014,95017,0,-0.0004313156178332722
2013-07-23,95070,95070,95070,95072,250,0.000578843785848937
2013-07-24,94901,94901,94901,94902,10,-0.001788118478626699
2013-07-25,94438,94438,94311,94312,187,-0.006216939579776981
2013-07-26,94311,94311,94264,94266,21,-0.0004877428110950932
2013-07-29,94462,94604,94462,94604,102,0.0035855982008359266
2013-07-30,94604,94769,94604,94770,110,0.0017546826772651958
2013-07-31,94750,94755,94337,94436,228,-0.0035243220428405886
2013-08-01,94433,94433,94433,94436,0,0.0
2013-08-02,93991,94035,93820,93970,97,-0.004934558854674087
2013-08-05,94242,94352,94242,94354,391,0.00408641055656056
2013-08-06,94502,94507,94425,94427,561,0.0007736820908492703
2013-08-07,94008,94008,93935,93937,12,-0.005189193768731393
2013-08-08,93839,93995,93839,93996,300,0.0006280805220519881
2013-08-09,93940,93940,93931,93932,5,-0.0006808800374483726
2013-08-12,93848,94287,93848,94289,105,0.0038006217263553133
2013-08-13,94066,94209,94066,94211,103,-0.0008272438990762909
